id;loginname;pwd;usertype;status;fatherid
1;mission-critical;Frozen reboot;2884;18076;57463
2;Awesome;Visionary Ball bandwidth;56908;99837;10568
3;Philippine Peso Adaptive panel;Port product technologies;89899;8488;99244
4;Idaho;New York info-mediaries;22389;80012;56690
5;customized Kids;iterate Response programming;2683;77795;43227
6;payment;engineer index;97410;54348;82488
7;withdrawal benchmark;Republic of Korea;62636;81840;55269
8;Supervisor Future payment;Small;11150;96150;58248
9;Villages Avon;killer;33324;65567;25504
10;Practical;Tasty Checking Account calculate;90881;39345;54820
